,date,daily_return
0,2021-12-31,0.0
1,2022-01-31,-0.04307647489888556
2,2022-02-28,-0.029111869072010722
3,2022-03-31,0.040366963846003294
4,2022-04-30,-0.03128981134646331
5,2022-05-31,-0.0010019273141695108
6,2022-06-30,-0.061977296381920746
7,2022-07-31,0.07089310264890673
8,2022-08-31,-0.018017159246693577
9,2022-09-30,-0.09188380889400456
10,2022-10-31,0.10087995513956012
11,2022-11-30,0.06901995648533762
12,2022-12-31,-0.039627313913580764
13,2023-01-31,0.03779757272704069
14,2023-02-28,-0.01998964994469072
15,2023-03-31,0.00987522551625987
16,2023-04-30,0.02100129042070277
17,2023-05-31,-0.05415928401174176
18,2023-06-30,0.08525775869913155
19,2023-07-31,0.025518605369566606
20,2023-08-31,-0.02130571364614305
21,2023-09-30,-0.05828179937054848
22,2023-10-31,-0.03308425120359394
23,2023-11-30,0.06610035409173712
24,2023-12-31,0.04842830678860486
